Epoch [11/50] Step 400 | Loss W: 0.3174 | Loss A: 0.0000
Epoch [11/50] Step 500 | Loss W: 0.4875 | Loss A: 0.0000
Epoch [11/50] Step 600 | Loss W: 0.4920 | Loss A: 0.0000
Epoch [11/50] Step 700 | Loss W: 0.4145 | Loss A: 0.0000
Epoch [12/50] Step 0 | Loss W: 0.3128 | Loss A: 0.0000
Epoch [12/50] Step 100 | Loss W: 0.3456 | Loss A: 0.0000
Epoch [12/50] Step 200 | Loss W: 0.2508 | Loss A: 0.0000
Epoch [12/50] Step 300 | Loss W: 0.2296 | Loss A: 0.0000
Epoch [12/50] Step 400 | Loss W: 0.3377 | Loss A: 0.0000
Epoch [12/50] Step 500 | Loss W: 0.3414 | Loss A: 0.0000
Epoch [12/50] Step 600 | Loss W: 0.2585 | Loss A: 0.0000
Epoch [12/50] Step 700 | Loss W: 0.4714 | Loss A: 0.0000
Epoch [13/50] Step 0 | Loss W: 0.1708 | Loss A: 0.0000
Epoch [13/50] Step 100 | Loss W: 0.1860 | Loss A: 0.0000
Epoch [13/50] Step 200 | Loss W: 0.2833 | Loss A: 0.0000
Epoch [13/50] Step 300 | Loss W: 0.1613 | Loss A: 0.0000
Epoch [13/50] Step 400 | Loss W: 0.1930 | Loss A: 0.0000
Epoch [13/50] Step 500 | Loss W: 0.4178 | Loss A: 0.0000
Epoch [13/50] Step 600 | Loss W: 0.1462 | Loss A: 0.0000
Epoch [13/50] Step 700 | Loss W: 0.1855 | Loss A: 0.0000
Epoch [14/50] Step 0 | Loss W: 0.2262 | Loss A: 0.0000
Epoch [14/50] Step 100 | Loss W: 0.2979 | Loss A: 0.0000
Epoch [14/50] Step 200 | Loss W: 0.2469 | Loss A: 0.0000
Epoch [14/50] Step 300 | Loss W: 0.2902 | Loss A: 0.0000
Epoch [14/50] Step 400 | Loss W: 0.1602 | Loss A: 0.0000
Epoch [14/50] Step 500 | Loss W: 0.3762 | Loss A: 0.0000
Epoch [14/50] Step 600 | Loss W: 0.3577 | Loss A: 0.0000
Epoch [14/50] Step 700 | Loss W: 0.3272 | Loss A: 0.0000
Epoch [15/50] Step 0 | Loss W: 0.1040 | Loss A: 0.0000
Epoch [15/50] Step 100 | Loss W: 0.1799 | Loss A: 0.0000
Epoch [15/50] Step 200 | Loss W: 0.3975 | Loss A: 0.0000
Epoch [15/50] Step 300 | Loss W: 0.2918 | Loss A: 0.0000
Epoch [15/50] Step 400 | Loss W: 0.1486 | Loss A: 0.0000
Epoch [15/50] Step 500 | Loss W: 0.4053 | Loss A: 0.0000
Epoch [15/50] Step 600 | Loss W: 0.4508 | Loss A: 0.0000
Epoch [15/50] Step 700 | Loss W: 0.1104 | Loss A: 0.0000
Epoch [16/50] Step 0 | Loss W: 0.2872 | Loss A: 0.8883
Epoch [16/50] Step 100 | Loss W: 0.1879 | Loss A: 0.8673
Epoch [16/50] Step 200 | Loss W: 0.0936 | Loss A: 0.6339
Epoch [16/50] Step 300 | Loss W: 0.2759 | Loss A: 0.5576
Epoch [16/50] Step 400 | Loss W: 0.1588 | Loss A: 0.5119
Epoch [16/50] Step 500 | Loss W: 0.1662 | Loss A: 0.8481
Epoch [16/50] Step 600 | Loss W: 0.3386 | Loss A: 0.9370
Epoch [16/50] Step 700 | Loss W: 0.1715 | Loss A: 0.5895
Epoch [17/50] Step 0 | Loss W: 0.1536 | Loss A: 0.9252
Epoch [17/50] Step 100 | Loss W: 0.1002 | Loss A: 0.1620
Epoch [17/50] Step 200 | Loss W: 0.0627 | Loss A: 0.6071
Epoch [17/50] Step 300 | Loss W: 0.1015 | Loss A: 1.7653
Epoch [17/50] Step 400 | Loss W: 0.0337 | Loss A: 0.4660
Epoch [17/50] Step 500 | Loss W: 0.0414 | Loss A: 0.4492
