mode,mixed
db_path,/tmp/leveldb_lab2
num_keys,1000
load_keys,1000
run_ops,2000
value_size,1024
write_buffer_size,4194304
block_size,4096
block_cache_size,67108864
bloom_bits,-1
fill_cache,1
use_kv_cache,0
kv_cache_capacity,0
range_length,16
run_pattern,zipf
zipf_skew,1.2
total_ops,2000
get_ops,1592
put_ops,408
scan_ops,0
not_found,0
kv_cache_hits,0
kv_cache_misses,0
total_seconds,0.00707351
qps,282745
p50_us,0.91
p90_us,9.555
p99_us,22.29
p999_us,29.649
