arg1,relation,arg2
encodings,access,registers
InstructionDetails,A64InstructionSetEncoding,bit
if!IsFeatureImplemented,AccessingS2PIR_EL2,PSTATE
imm,VSHLL,Applieswhen
if!IsFeatureImplemented,ifsize,UInt
operation,isapplied,boolean
elsif,elsif,PSTATE
PL,esize,bits
Decodeforthisencoding,offset,bits
PE,chooses,case
bits,A64AdvancedSIMDandFloating,result
Decodeforthisencoding,iftsize,if!IsFeatureImplemented
esize,s_esize,integer
bits,assert,UInt
bits,tagchecked,accdesc
X[t,op2,PSTATE
Formoreinformation,see,Non
EL2,elsif,PSTATE
EL3,elsif,PSTATE
value,see,bit
Decodeforallvariantsofthisencoding,SEE,ifRn=='1111
PSTATE,based,bits
Z[d,result,SVEInstructionDescriptions
T32andA32BaseInstructionSetInstructionDescriptions,Decodeforthisencoding,UInt
elements,Notes,address
PL,count,bits
address,awatchpointed,memory
instruction,•A,address
Non,A64AdvancedSIMDandFloating,pointInstructionDescriptions
Decodeforthisencoding,see,if!IsFeatureImplemented
Counter,asfollows,Counter
bits,assert,return
value,apply,bit
instructions,0b1111described,example
Decodeforthisencoding,offset,if!IsFeatureImplemented
pointInstructionDescriptions,A64AdvancedSIMDandFloating,result
Applieswhen,elsize,UInt
UInt,ifcsize,UInt
bits,tagchecked,bits
register,//Determines,instruction
PL,result,bits
return,PAdepending,regime
bits,aligned,size
Reserved,WhenFEAT_Debugv8p9isimplemented,access
integer,return,integer
address,aligned,accdesc
elements,ifmerging,bits
Applieswhen,F6.1AlphabeticallistofAdvancedSIMDandfloating,pointInstructionDescriptions
integer,offset,UInt
bits,d_esize,Elem
value,causes,counter
Applieswhen,ifsize,encodings
Elem,esize,esize
Applieswhen,VMOV,Applieswhen
data,"IfPSTATE.DITis1,thetimingofthisinstructionisinsensitivetothevalueofthedatabeingloadedorstored",data
ConfidentialC4,A64InstructionSetEncoding,size
ThevalueofthisfieldisanIMPLEMENTATIONDEFINEDchoiceof,RealmEL2isnotimplemented,Meaning
bits,F6.1AlphabeticallistofAdvancedSIMDandfloating,integer
registers,mapped,HaveEL
Elem,result,ZeroExtend
Entry,set,state
PE,•In,implementation
bits,tobeobserved,bits
data,purposeregistertobetransferred,if!IsFeatureImplemented
elsif,elsif,.EL==EL2
event,issued,event
Elem,result,pointInstructionDescriptions
CRm,op2,if!IsFeatureImplemented
X[t,datasize,bits
EL2,elsif,.EL==EL2
EL3,elsif,.EL==EL2
bits,esize,DIV
Information,recorded,Information
case,orloadedfrommemoryiftheexceptionreturnwasperformedbyexecutingan,instruction
SVEInstructionDescriptions,CheckNonStreamingSVEEnabled,bits
elements,rsize,bits
bits,msize,if!IsFeatureImplemented
bits,assert,ZeroExtend
element,result,Z[d
Decodeforthisencoding,sz,if!IsFeatureImplemented
pointInstructionDescriptions,Decodeforthisencoding,pointinstructions
AArch32,elsif,HaveEL
access,isallowed,state
ifRn=='1111,SEE,encodings
D14.3Commoneventnumbers,IftheTLBissharedandtheEffectivevalueof,PMEVTYPER
D24.2Generalsystemcontrolregisters,elsif,PSTATE
access,register,instruction
size,Rt2,UInt
HaveEL,elsif,.EL==EL2
address,ifIsAligned,data
bits,offset,C9.2AlphabeticallistofSMEinstructions
registers,executing,state
mode,offset,mode
address,isaligned,entry
Applieswhen,SEE,encodings
access,generates,fault
EL2,=,.EL==EL2
Formoreinformation,see,Register
EL3,andotheraccesses,Instruction
Return,areserved,EL3
EL3,isimplemented,AArch32
ARMDDI0487,A64InstructionSetEncoding,InstructionDetails
address,pointed,table
Non,A64AdvancedSIMDandFloating,RESERVED
D24.2Generalsystemcontrolregisters,IFSC,Applies
Non,Decodeforthisencoding,UInt
Applieswhen,see,UInt
fault,',accdesc
state,instructionisexecuted,operation
Applieswhen,ifsize,UInt
ARMDDI0487,"000xx','00100",case
Thecountercountseach,Loadinstructionarchitecturallyexecuted,PMEVTYPER
bits,op1_unsigned,bits
elements,result,bits
Non,',fault
pointinstructions,',if!IsFeatureImplemented
Non,A64AdvancedSIMDandFloating,pointinstructions
X[t,=,D24.2Generalsystemcontrolregisters
Non,A64InstructionSetEncoding,ConfidentialC4
Applieswhen,VMOV,pointInstructionDescriptions
address,held,field
EL3,using,AArch32
D24.2Generalsystemcontrolregisters,elsif,.EL==EL2
integer,offset,esize
access,HDis0andthecomputedprivilegedstage1permissionsareasshown,table
Decodeforallvariantsofthisencoding,offset,UInt
level,using,AArch64
Decodeforthisencoding,ifIsFeatureImplemented,if!IsFeatureImplemented
table,include,entry
regime,return,regime
Applieswhen,elsize,integer
exceptions,enabled,access
value,esize,value
value,assert,bits
bits,b_in,values
Applieswhen,SMLALTB,Applieswhen
UInt,Decodeforthisencoding,UInt
bits,=,PSTATE
bits,Decodeforthisencoding,if!IsFeatureImplemented
integer,offset,integer
Non,=,HaveEL
register,shown,registers
Decodeforthisencoding,=,if!IsFeatureImplemented
Decodeforthisencoding,ifsz=='1,if!IsFeatureImplemented
Instructiondetails,UNALLOCATED,bit
Configuration,powerdomain,Formoreinformation
IfEL2isimplementedandenabledinthecurrentSecuritystate,Meaning,exception
.EL==EL2,elsif,PSTATE
ThevalueofthisfieldisanIMPLEMENTATIONDEFINEDchoiceof,EXLEVEL_RL_EL0,Meaning
Non,A64InstructionSetEncoding,InstructionDetails
if!IsFeatureImplemented,op2,PSTATE
CRm,elsif,PSTATE
bits,8),ZeroExtend
registers,accessed,registers
bits,SP[datasize,bits
Theresetbehaviorofthisfieldis,thisfieldresetstoanarchitecturallyUNKNOWNvalue,Non
Decodeforthisencoding,rounding,esize
isnot,implemented,if!IsFeatureImplemented
bits,',bits
address,aligned,size
state,completed,event
Elem,esize,bits
address,isexpressed,AArch64
ThevalueofthisfieldisanIMPLEMENTATIONDEFINEDchoiceof,TGran16,Applies
value,indicating,size
value,returned,value
accdesc,describe,access
Elem,result,accdesc
integer,if!(IsFeatureImplemented,UInt
D14.3Commoneventnumbers,precisionfloating,point
EL3,using,state
Decodeforthisencoding,see,UInt
bits,bits,DATA
imm,msize,bits
counter,incremented,AArch64
PL,=,bits
elements,CheckStreamingSVEAndZAEnabled,bits
bits,purposeregistertobeconditionallystored,bits
Foradescriptionofthisinstructionandtheencoding,see,point
pointInstructionDescriptions,datasize,if!IsFeatureImplemented
mode,rounding,value
Size,means,instruction
SVEInstructionDescriptions,offset,bits
exception,taken,Mode
Fortruncatedresults,see,bit
pointInstructionDescriptions,esize,result
Zeros,AArch64.AccessIsTagChecked,bits
AArch64,=,PSTATE
AArch32,ID_MMFR2,.EL==EL2
bits,accumulated,PE
System,register,System
EL3,elsif,HaveEL
Decodeforthisencoding,transferred,if!IsFeatureImplemented
X[t,elsif,X[t
bits,A64AdvancedSIMDandFloating,pointInstructionDescriptions
Non,thenaninstructiongeneratingapredicate,counter
fault,encode,bits
bits,offset,elements
case,sz,pointInstructionDescriptions
UInt,WHILEHI,Decodeforthisencoding
Decodeforthisencoding,esize,if!IsFeatureImplemented
instruction,operates,values
bits,assert,bits
Formoreinformation,see,instruction
register,containing,system
accdesc,StoreOnlyTagCheckingEnabled,boolean
elsif,EL2Enabled,AArch64
bits,datasize,PSTATE
Zeros,elsif,PSTATE
information,seethetranslationtableentryupdateexamplesin,instructions
address,range,information
Decodeforthisencoding,isignored,field
HaveEL,elsif,HaveEL
Applieswhen,isequivalentto,pointInstructionDescriptions
Decodeforthisencoding,datasize,if!IsFeatureImplemented
if!IsFeatureImplemented,op1_unsigned,UInt
pointInstructionDescriptions,result,pointinstructions
Zeros,datasize,bits
value,//Scaled,bit
AArch64,assert,PSTATE
bits,is_combined,bits
Decodeforthisencoding,berepresented,UInt
AArch64,elsif,AArch64
EL2,using,AArch64
ARMDDI0487,includes,bits
CRm,RVAALE1OS,PSTATE
bits,enabled,bits
PE,halted,event
values,read,registers
AArch32,assert,PSTATE
Zeros,ifmerge,Elem
value,associated,case
value,aligned,accdesc
point,Floating,Applieswhen
pointInstructionDescriptions,A64AdvancedSIMDandFloating,esize
imm,esize,bits
element,rounding,pointInstructionDescriptions
IfEL2isimplementedandenabledinthecurrentSecuritystate,syndromevalue,exception
event,synchronizing,instruction
ARMDDI0487,op2,PSTATE
return,=,bits
integer,if!(IsFeatureImplemented,esize
fault,occur,EL2
boolean,return,HaveEL
instructions,operate,values
result,isConstraint_UNKNOWN,value
elements,=,bits
fault,G5.11VMSAv8,bits
result,flushed,exception
Formoreinformation,see,exception
access,VMSAv8,state
D24.2Generalsystemcontrolregisters,elsif,HaveEL
Formoreinformation,see,Registers
Forexample,bothloadandstoreoperationsarerecorded,Meaning
level,isimplemented,AArch32
instructions,accessed,state
bits,tagchecked,ZeroExtend
instructions,T32instructionsthataremodifiedinDebugstate,state
PL,imm,elements
address,given,boolean
Decodeforthisencoding,ifsize,if!IsFeatureImplemented
exceptions,enabled,exceptions
integer,if!(IsFeatureImplemented,integer
Forexample,whenthevalueof,instruction
Applieswhen,SMLAD,Applieswhen
elements,msize,accdesc
boolean,masked,bits
implementation,made,exceptions
boolean,op1_unsigned,C9.2AlphabeticallistofSMEinstructions
exception,occur,result
data,offset,address
operation,passed,access
pointInstructionDescriptions,rounding,pointinstructions
Formoreinformation,see,exceptions
bits,result,C9.2AlphabeticallistofSMEinstructions
if!IsFeatureImplemented,MAIR2_EL2,PSTATE
operand2,test_passed,Elem
ARMDDI0487,elsif,PSTATE
integer,offset,C9.2AlphabeticallistofSMEinstructions
bits,Decodeforthisencoding,UInt
esize,d_esize,integer
Formoreinformation,see,instructions
Decodeforthisencoding,t==t2then,UInt
EL3,=,PSTATE
configuration,//Detect,AArch64
X[t,see,registers
D14.3Commoneventnumbers,fetchedbyhardware,readoperation
Configuration,see,Formoreinformation
state,invoke,bits
data,=,value
elements,msize,bits
size,A64InstructionSetEncoding,size
field,isclear,operation
ThevalueofthisfieldisanIMPLEMENTATIONDEFINEDchoiceof,SYSSTALL,Meaning
integer,integer,boolean
bits,"N)op2,FPCR_Type",bits
case,sz,pointinstructions
address,held,register
bits,rounding,bits
value,indicates,field
X[t,elsif,PSTATE
bits,assert,size
AccessestothisregisterusethefollowingencodingsintheSystemregisterencodingspace,CRm,PSTATE
CRm,IPAS2LE1OS,PSTATE
ZeroExtend,result,Elem
pointInstructionDescriptions,A64AdvancedSIMDandFloating,RESERVED
access,//allowed,state
D24.2Generalsystemcontrolregisters,EnASR,Meaning
result,determined,mode
Meaning,GranuleProtectionFaultontranslationtable,Applies
bits,A);,bits
access,generates,AArch64
ConfidentialC4,A64InstructionSetEncoding,PSTATE
Non,elsif,PSTATE
pointInstructionDescriptions,A64AdvancedSIMDandFloating,pointinstructions
imm,msize,elements
implementation,clears,PSTATE
Formoreinformation,see,registers
Decodeforallvariantsofthisencoding,F6.1AlphabeticallistofAdvancedSIMDandfloating,pointInstructionDescriptions
operation,updates,address
elements,"amultipleof4intherange0to252,defaultingto0,encoded",bits
ARMDDI0487,A64InstructionSetEncoding,size
Forexample,ThisregisterispresentonlywhenFEAT_SPEisimplemented,Configuration
ARMDDI0487,elsif,.EL==EL2
event,isgenerated,address
point,translating,AArch32
AArch32,ID_ISAR1,.EL==EL2
Elem,',ZeroExtend
SVEInstructionDescriptions,offset,elements
DIV,CheckStreamingSVEAndZAEnabled,bits
PE,generate,event
elements,andincluding,fault
Decodeforthisencoding,A64AdvancedSIMDandFloating,if!IsFeatureImplemented
IfEL2isimplementedandenabledinthecurrentSecuritystate,MSRwritesatEL1using,exception
EL3,=,.EL==EL2
value,F6.1AlphabeticallistofAdvancedSIMDandfloating,pointInstructionDescriptions
address,bits,address
element,rounding,pointinstructions
value,says,operation
EL3,implemented,Non
PL,rsize,bits
bits,"N)op2,FPCR_Type",result
X[t,=,PSTATE
AccessestothisregisterusethefollowingencodingsintheSystemregisterencodingspace,op2,PSTATE
if!IsFeatureImplemented,CRm,PSTATE
bits,bits,field
regime,=,regime
table,walk,access
implementation,samples,instructions
IfEL2isimplementedandenabledinthecurrentSecuritystate,atEL1usingAArch64aretrappedtoEL2andreported,exception
Decodeforallvariantsofthisencoding,SEE,encodings
X[t,elsif,.EL==EL2
architecture,permits,instruction
integer,Decodeforthisencoding,if!IsFeatureImplemented
boolean,enabled,bits
integer,SPERecordSize,Zeros
architecture,requires,PE
pointInstructionDescriptions,A64AdvancedSIMDandFloating,bits
integer,Pg,if!IsFeatureImplemented
boolean,return,if!IsFeatureImplemented
information,onAArch64,UInt
exceptions,masked,PSTATE
exceptions,•,exception
Non,A64InstructionSetEncoding,size
EL3,if(EL2Enabled,PSTATE
elements,esize,bits
value,returned,field
bits,esize,integer
AArch64,=,HaveEL
value,returned,return
DIV,result,DIV
EL3,Exists,state
pointInstructionDescriptions,result,element
HaveEL,=,.EL==EL2
bits,8),size
memory,attributes,table
bits,assert,HaveEL
ThevalueofthisfieldisanIMPLEMENTATIONDEFINEDchoiceof,SUPPDAC,Meaning
exceptions,routed,EL2
encodings,register,System
regime,treated,accdesc
Non,A64AdvancedSIMDandFloating,accdesc
Thecountercountseach,speculativelyexecuted,instructions
elements,integer,bits
