Time records (guesses, time):
Guesses: 170685, Time: 0.00622 seconds
Guesses: 315647, Time: 0.011567 seconds
Guesses: 459774, Time: 0.014224 seconds
Guesses: 559924, Time: 0.021696 seconds
Guesses: 660105, Time: 0.023522 seconds
Guesses: 730968, Time: 0.02482 seconds
Guesses: 731068, Time: 0.025014 seconds
Guesses: 797589, Time: 0.026271 seconds
Guesses: 797689, Time: 0.026489 seconds
Guesses: 862659, Time: 0.027729 seconds
Guesses: 862669, Time: 0.027908 seconds
Guesses: 862769, Time: 0.028094 seconds
Guesses: 927462, Time: 0.029325 seconds
Guesses: 927472, Time: 0.029541 seconds
Guesses: 927482, Time: 0.029719 seconds
Guesses: 977126, Time: 0.030707 seconds
Guesses: 977136, Time: 0.030889 seconds
Guesses: 977146, Time: 0.031067 seconds
Guesses: 977156, Time: 0.031249 seconds
Guesses: 977166, Time: 0.031447 seconds
Guesses: 977176, Time: 0.031623 seconds
Guesses: 977186, Time: 0.031799 seconds
Guesses: 977196, Time: 0.031974 seconds
Guesses: 977296, Time: 0.03216 seconds
Guesses: 977396, Time: 0.032337 seconds
Guesses: 977496, Time: 0.032548 seconds
Guesses: 977596, Time: 0.032735 seconds
Guesses: 1017695, Time: 0.033563 seconds
Guesses: 1051391, Time: 0.045384 seconds
Guesses: 2102792, Time: 0.047396 seconds
Guesses: 1051411, Time: 0.04761 seconds
Guesses: 1051421, Time: 0.047788 seconds
Guesses: 1051431, Time: 0.047964 seconds
Guesses: 1051441, Time: 0.048147 seconds
Guesses: 1051451, Time: 0.048327 seconds
Guesses: 1051461, Time: 0.048527 seconds
Guesses: 1051471, Time: 0.048703 seconds
Guesses: 1051481, Time: 0.048878 seconds
Guesses: 1051491, Time: 0.049054 seconds
Guesses: 1051501, Time: 0.04923 seconds
Guesses: 1051601, Time: 0.049409 seconds
Guesses: 1051701, Time: 0.049609 seconds
Guesses: 1051801, Time: 0.049792 seconds
Guesses: 1061575, Time: 0.050139 seconds
Guesses: 1062575, Time: 0.050338 seconds
Guesses: 1089613, Time: 0.050726 seconds
Guesses: 1089623, Time: 0.050908 seconds
Guesses: 1089633, Time: 0.051088 seconds
Guesses: 1089643, Time: 0.051271 seconds
Guesses: 1089653, Time: 0.051502 seconds
Guesses: 1089663, Time: 0.051679 seconds
Guesses: 1089763, Time: 0.051856 seconds
Guesses: 1090763, Time: 0.052049 seconds
Guesses: 1090863, Time: 0.052227 seconds
Guesses: 1090963, Time: 0.052405 seconds
Guesses: 1091063, Time: 0.052601 seconds
Guesses: 1091163, Time: 0.052779 seconds
Guesses: 1091263, Time: 0.052956 seconds
Guesses: 1091363, Time: 0.053134 seconds
Guesses: 1101137, Time: 0.053492 seconds
Guesses: 1101237, Time: 0.05367 seconds
Guesses: 1101337, Time: 0.053848 seconds
Guesses: 1111111, Time: 0.054187 seconds
Guesses: 1120885, Time: 0.054543 seconds
Guesses: 1121885, Time: 0.054735 seconds
Guesses: 1121895, Time: 0.054917 seconds
Guesses: 1121905, Time: 0.055099 seconds
Guesses: 1122905, Time: 0.055297 seconds
Guesses: 1122915, Time: 0.055519 seconds
Guesses: 1122925, Time: 0.055695 seconds
Guesses: 1123925, Time: 0.055889 seconds
Guesses: 1123935, Time: 0.056064 seconds
Guesses: 1124035, Time: 0.056242 seconds
Guesses: 1125035, Time: 0.056434 seconds
Guesses: 1125135, Time: 0.056632 seconds
Guesses: 1126135, Time: 0.056829 seconds
Guesses: 1126235, Time: 0.057011 seconds
Guesses: 1126335, Time: 0.057193 seconds
Guesses: 1136109, Time: 0.057554 seconds
Guesses: 1145883, Time: 0.057895 seconds
Guesses: 1155657, Time: 0.058236 seconds
Guesses: 1155757, Time: 0.058453 seconds
Guesses: 1165531, Time: 0.058814 seconds
Guesses: 1165631, Time: 0.058996 seconds
Guesses: 1165731, Time: 0.059179 seconds
Guesses: 1175505, Time: 0.059564 seconds
Guesses: 1185279, Time: 0.059907 seconds
Guesses: 1195053, Time: 0.060248 seconds
Guesses: 1216344, Time: 0.060577 seconds
Guesses: 1216354, Time: 0.060759 seconds
Guesses: 1217354, Time: 0.060961 seconds
Guesses: 1233862, Time: 0.061226 seconds
Guesses: 1233872, Time: 0.061408 seconds
Guesses: 1234872, Time: 0.061627 seconds
Guesses: 1234882, Time: 0.061808 seconds
Guesses: 1235882, Time: 0.062006 seconds
Guesses: 1235892, Time: 0.062187 seconds
Guesses: 1236892, Time: 0.062385 seconds
Guesses: 1236902, Time: 0.062585 seconds
Guesses: 1237902, Time: 0.062783 seconds
Guesses: 1237912, Time: 0.062963 seconds
Guesses: 1238912, Time: 0.063162 seconds
Guesses: 1239912, Time: 0.06338 seconds
Guesses: 1240912, Time: 0.0636 seconds
Guesses: 1241012, Time: 0.063778 seconds
Guesses: 1242012, Time: 0.06397 seconds
Guesses: 1242112, Time: 0.064149 seconds
Guesses: 1242212, Time: 0.064326 seconds
Guesses: 1242312, Time: 0.064522 seconds
Guesses: 1242412, Time: 0.064699 seconds
Guesses: 1242512, Time: 0.064878 seconds
Guesses: 1242612, Time: 0.065056 seconds
Guesses: 1252386, Time: 0.065395 seconds
Guesses: 1253386, Time: 0.065611 seconds
Guesses: 1265010, Time: 0.065819 seconds
Guesses: 1265020, Time: 0.066024 seconds
Guesses: 1265030, Time: 0.066205 seconds
Guesses: 1265040, Time: 0.066386 seconds
Guesses: 1265050, Time: 0.066584 seconds
Guesses: 1266050, Time: 0.066776 seconds
Guesses: 1266060, Time: 0.066952 seconds
Guesses: 1267060, Time: 0.067146 seconds
Guesses: 1268060, Time: 0.067355 seconds
Guesses: 1268160, Time: 0.067562 seconds
Guesses: 1269160, Time: 0.067755 seconds
Guesses: 1270160, Time: 0.067948 seconds
Guesses: 1270260, Time: 0.068126 seconds
Guesses: 1271260, Time: 0.068319 seconds
Guesses: 1271360, Time: 0.068514 seconds
Guesses: 1272360, Time: 0.068714 seconds
Guesses: 1282134, Time: 0.069057 seconds
Guesses: 1282234, Time: 0.069239 seconds
Guesses: 1282334, Time: 0.069421 seconds
Guesses: 1292108, Time: 0.069783 seconds
Guesses: 1292208, Time: 0.069965 seconds
Guesses: 1301982, Time: 0.070309 seconds
Guesses: 1311756, Time: 0.070669 seconds
Guesses: 1311856, Time: 0.070852 seconds
Guesses: 1322489, Time: 0.071074 seconds
Guesses: 1360626, Time: 0.071628 seconds
Guesses: 1360636, Time: 0.071805 seconds
Guesses: 1360646, Time: 0.071982 seconds
Guesses: 1360656, Time: 0.072158 seconds
Guesses: 1360666, Time: 0.072334 seconds
Guesses: 1360676, Time: 0.072531 seconds
Guesses: 1360686, Time: 0.072712 seconds
Guesses: 1360696, Time: 0.072893 seconds
Guesses: 1360706, Time: 0.073075 seconds
Guesses: 1360716, Time: 0.073256 seconds
Guesses: 1361716, Time: 0.073453 seconds
Guesses: 1361726, Time: 0.07365 seconds
Guesses: 1362726, Time: 0.073843 seconds
Guesses: 1362826, Time: 0.074019 seconds
Guesses: 1363826, Time: 0.074212 seconds
Guesses: 1363926, Time: 0.074389 seconds
Guesses: 1364026, Time: 0.074585 seconds
Guesses: 1365026, Time: 0.074778 seconds
Guesses: 1365126, Time: 0.074978 seconds
Guesses: 1365226, Time: 0.075155 seconds
Guesses: 1366226, Time: 0.075369 seconds
Guesses: 1366326, Time: 0.075574 seconds
Guesses: 1376100, Time: 0.075917 seconds
Guesses: 1376200, Time: 0.076099 seconds
Guesses: 1385974, Time: 0.076442 seconds
Guesses: 1395748, Time: 0.076798 seconds
Guesses: 1395848, Time: 0.076975 seconds
Guesses: 1405622, Time: 0.077314 seconds
Guesses: 1415396, Time: 0.077671 seconds
Guesses: 1425170, Time: 0.078009 seconds
Guesses: 1434944, Time: 0.078347 seconds
Guesses: 1444718, Time: 0.078708 seconds
Guesses: 1544868, Time: 0.080451 seconds
Guesses: 1544878, Time: 0.080671 seconds
Guesses: 1544888, Time: 0.080851 seconds
Guesses: 1645038, Time: 0.082578 seconds
Guesses: 1646038, Time: 0.082787 seconds
Guesses: 1646048, Time: 0.082963 seconds
Guesses: 1652894, Time: 0.08312 seconds
Guesses: 1653894, Time: 0.083312 seconds
Guesses: 1653946, Time: 0.083538 seconds
Guesses: 1754096, Time: 0.085252 seconds
Guesses: 1755096, Time: 0.085463 seconds
Guesses: 1755106, Time: 0.085658 seconds
Guesses: 1756106, Time: 0.085851 seconds
Guesses: 1756116, Time: 0.086026 seconds
Guesses: 1757116, Time: 0.086218 seconds
Guesses: 1757126, Time: 0.086395 seconds
Guesses: 1758126, Time: 0.086606 seconds
Guesses: 1759126, Time: 0.086799 seconds
Guesses: 1760126, Time: 0.086992 seconds
Guesses: 1761126, Time: 0.087184 seconds
Guesses: 1762126, Time: 0.087395 seconds
Guesses: 1763126, Time: 0.087614 seconds
Guesses: 1863276, Time: 0.089452 seconds
Guesses: 1863376, Time: 0.089663 seconds
Guesses: 1864376, Time: 0.089856 seconds
Guesses: 1865376, Time: 0.090049 seconds
Guesses: 1865476, Time: 0.090227 seconds
Guesses: 1866476, Time: 0.090419 seconds
Guesses: 1866576, Time: 0.090615 seconds
Guesses: 1866676, Time: 0.090793 seconds
Guesses: 1866776, Time: 0.090972 seconds
Guesses: 1866876, Time: 0.091148 seconds
Guesses: 1867876, Time: 0.091364 seconds
Guesses: 1867976, Time: 0.091563 seconds
Guesses: 1868976, Time: 0.091755 seconds
Guesses: 1869076, Time: 0.091932 seconds
Guesses: 1870076, Time: 0.092124 seconds
Guesses: 1870176, Time: 0.092302 seconds
Guesses: 1871176, Time: 0.092512 seconds
Guesses: 1871276, Time: 0.092689 seconds
Guesses: 1872276, Time: 0.092881 seconds
Guesses: 1872376, Time: 0.093059 seconds
Guesses: 1873376, Time: 0.093251 seconds
Guesses: 1873476, Time: 0.093429 seconds
Guesses: 1874476, Time: 0.093638 seconds
Guesses: 1875476, Time: 0.093831 seconds
Guesses: 1876476, Time: 0.094023 seconds
Guesses: 1877476, Time: 0.094216 seconds
Guesses: 1878476, Time: 0.094409 seconds
Guesses: 1879476, Time: 0.094622 seconds
Guesses: 1880476, Time: 0.094819 seconds
Guesses: 1881476, Time: 0.095017 seconds
Guesses: 1882476, Time: 0.095214 seconds
Guesses: 1883476, Time: 0.095435 seconds
