Time records (guesses, time):
Guesses: 170685, Time: 0.017991 seconds
Guesses: 315647, Time: 0.034749 seconds
Guesses: 459774, Time: 0.044966 seconds
Guesses: 559924, Time: 0.0668 seconds
Guesses: 660105, Time: 0.075251 seconds
Guesses: 730968, Time: 0.082462 seconds
Guesses: 731068, Time: 0.091069 seconds
Guesses: 797589, Time: 0.098076 seconds
Guesses: 797689, Time: 0.106665 seconds
Guesses: 862659, Time: 0.113653 seconds
Guesses: 862669, Time: 0.122231 seconds
Guesses: 862769, Time: 0.130791 seconds
Guesses: 927462, Time: 0.137768 seconds
Guesses: 927472, Time: 0.146334 seconds
Guesses: 927482, Time: 0.154936 seconds
Guesses: 977126, Time: 0.161302 seconds
Guesses: 977136, Time: 0.169832 seconds
Guesses: 977146, Time: 0.178488 seconds
Guesses: 977156, Time: 0.187109 seconds
Guesses: 977166, Time: 0.195755 seconds
Guesses: 977176, Time: 0.204311 seconds
Guesses: 977186, Time: 0.212889 seconds
Guesses: 977196, Time: 0.221514 seconds
Guesses: 977296, Time: 0.230115 seconds
Guesses: 977396, Time: 0.238745 seconds
Guesses: 977496, Time: 0.247375 seconds
Guesses: 977596, Time: 0.255988 seconds
Guesses: 1017695, Time: 0.261984 seconds
Guesses: 1051391, Time: 0.294093 seconds
Guesses: 2102792, Time: 0.305885 seconds
Guesses: 1051411, Time: 0.314482 seconds
Guesses: 1051421, Time: 0.323151 seconds
Guesses: 1051431, Time: 0.33175 seconds
Guesses: 1051441, Time: 0.340292 seconds
Guesses: 1051451, Time: 0.348876 seconds
Guesses: 1051461, Time: 0.357436 seconds
Guesses: 1051471, Time: 0.366061 seconds
Guesses: 1051481, Time: 0.374661 seconds
Guesses: 1051491, Time: 0.383264 seconds
Guesses: 1051501, Time: 0.3919 seconds
Guesses: 1051601, Time: 0.400521 seconds
Guesses: 1051701, Time: 0.409119 seconds
Guesses: 1051801, Time: 0.417736 seconds
Guesses: 1061575, Time: 0.42691 seconds
Guesses: 1062575, Time: 0.43563 seconds
Guesses: 1089613, Time: 0.440882 seconds
Guesses: 1089623, Time: 0.449512 seconds
Guesses: 1089633, Time: 0.458104 seconds
Guesses: 1089643, Time: 0.4667 seconds
Guesses: 1089653, Time: 0.475291 seconds
Guesses: 1089663, Time: 0.48389 seconds
Guesses: 1089763, Time: 0.492482 seconds
Guesses: 1090763, Time: 0.501139 seconds
Guesses: 1090863, Time: 0.509763 seconds
Guesses: 1090963, Time: 0.518413 seconds
Guesses: 1091063, Time: 0.526988 seconds
Guesses: 1091163, Time: 0.535611 seconds
Guesses: 1091263, Time: 0.544197 seconds
Guesses: 1091363, Time: 0.552761 seconds
