Time records (guesses, time):
Guesses: 1360626, Time: 0.073425 seconds
Guesses: 1360636, Time: 0.073737 seconds
Guesses: 1360646, Time: 0.074071 seconds
Guesses: 1360656, Time: 0.074379 seconds
Guesses: 1360666, Time: 0.074705 seconds
Guesses: 1360676, Time: 0.075018 seconds
Guesses: 1360686, Time: 0.075331 seconds
Guesses: 1360696, Time: 0.075658 seconds
Guesses: 1360706, Time: 0.075973 seconds
Guesses: 1360716, Time: 0.07631 seconds
Guesses: 1361716, Time: 0.076666 seconds
Guesses: 1361726, Time: 0.077003 seconds
Guesses: 1362726, Time: 0.077335 seconds
Guesses: 1362826, Time: 0.077675 seconds
Guesses: 1363826, Time: 0.078011 seconds
Guesses: 1363926, Time: 0.078354 seconds
Guesses: 1364026, Time: 0.078692 seconds
Guesses: 1365026, Time: 0.079017 seconds
Guesses: 1365126, Time: 0.079357 seconds
Guesses: 1365226, Time: 0.079697 seconds
Guesses: 1366226, Time: 0.080049 seconds
Guesses: 1366326, Time: 0.080395 seconds
Guesses: 1376100, Time: 0.080836 seconds
Guesses: 1376200, Time: 0.081163 seconds
Guesses: 1385974, Time: 0.08158 seconds
Guesses: 1395748, Time: 0.081974 seconds
Guesses: 1395848, Time: 0.082294 seconds
Guesses: 1405622, Time: 0.082707 seconds
Guesses: 1415396, Time: 0.083107 seconds
Guesses: 1425170, Time: 0.0835 seconds
Guesses: 1434944, Time: 0.083905 seconds
Guesses: 1444718, Time: 0.084339 seconds
Guesses: 1544868, Time: 0.085555 seconds
Guesses: 1544878, Time: 0.085903 seconds
Guesses: 1544888, Time: 0.086221 seconds
Guesses: 1645038, Time: 0.087366 seconds
Guesses: 1646038, Time: 0.087733 seconds
Guesses: 1646048, Time: 0.088063 seconds
Guesses: 1652894, Time: 0.088351 seconds
Guesses: 1653894, Time: 0.088675 seconds
Guesses: 1653946, Time: 0.088992 seconds
Guesses: 1754096, Time: 0.090132 seconds
Guesses: 1755096, Time: 0.090481 seconds
Guesses: 1755106, Time: 0.090825 seconds
Guesses: 1756106, Time: 0.091146 seconds
Guesses: 1756116, Time: 0.091461 seconds
Guesses: 1757116, Time: 0.091847 seconds
Guesses: 1757126, Time: 0.092205 seconds
Guesses: 1758126, Time: 0.09257 seconds
Guesses: 1759126, Time: 0.092912 seconds
Guesses: 1760126, Time: 0.093227 seconds
Guesses: 1761126, Time: 0.093571 seconds
Guesses: 1762126, Time: 0.093893 seconds
Guesses: 1763126, Time: 0.094215 seconds
Guesses: 1863276, Time: 0.095372 seconds
Guesses: 1863376, Time: 0.095729 seconds
Guesses: 1864376, Time: 0.096061 seconds
Guesses: 1865376, Time: 0.096487 seconds
Guesses: 1865476, Time: 0.09683 seconds
Guesses: 1866476, Time: 0.097164 seconds
Guesses: 1866576, Time: 0.097475 seconds
Guesses: 1866676, Time: 0.097815 seconds
Guesses: 1866776, Time: 0.098135 seconds
Guesses: 1866876, Time: 0.098456 seconds
Guesses: 1867876, Time: 0.098799 seconds
Guesses: 1867976, Time: 0.099115 seconds
Guesses: 1868976, Time: 0.099441 seconds
Guesses: 1869076, Time: 0.099762 seconds
Guesses: 1870076, Time: 0.100095 seconds
Guesses: 1870176, Time: 0.100446 seconds
Guesses: 1871176, Time: 0.100793 seconds
Guesses: 1871276, Time: 0.101144 seconds
Guesses: 1872276, Time: 0.101474 seconds
Guesses: 1872376, Time: 0.101803 seconds
Guesses: 1873376, Time: 0.102151 seconds
Guesses: 1873476, Time: 0.102481 seconds
Guesses: 1874476, Time: 0.102834 seconds
Guesses: 1875476, Time: 0.103161 seconds
Guesses: 1876476, Time: 0.103496 seconds
Guesses: 1877476, Time: 0.103853 seconds
Guesses: 1878476, Time: 0.104235 seconds
Guesses: 1879476, Time: 0.104607 seconds
Guesses: 1880476, Time: 0.104938 seconds
Guesses: 1881476, Time: 0.105265 seconds
Guesses: 1882476, Time: 0.105606 seconds
Guesses: 1883476, Time: 0.105926 seconds
Guesses: 1883576, Time: 0.106246 seconds
Guesses: 1884576, Time: 0.106589 seconds
Guesses: 1885576, Time: 0.106911 seconds
Guesses: 1885676, Time: 0.107233 seconds
Guesses: 1886676, Time: 0.10759 seconds
Guesses: 1886776, Time: 0.107912 seconds
Guesses: 1986926, Time: 0.109134 seconds
Guesses: 1996700, Time: 0.109586 seconds
Guesses: 1997700, Time: 0.109914 seconds
Guesses: 1997800, Time: 0.110233 seconds
Guesses: 1998800, Time: 0.110621 seconds
Guesses: 1998900, Time: 0.11094 seconds
Guesses: 2099050, Time: 0.11219 seconds
Guesses: 2108824, Time: 0.114557 seconds
Guesses: 2118598, Time: 0.115007 seconds
Guesses: 2218748, Time: 0.116213 seconds
Guesses: 2218848, Time: 0.116558 seconds
Guesses: 2318998, Time: 0.117742 seconds
Guesses: 2489683, Time: 0.119539 seconds
Guesses: 2490683, Time: 0.119966 seconds
Guesses: 2590833, Time: 0.121147 seconds
Guesses: 2591833, Time: 0.121717 seconds
Guesses: 2591933, Time: 0.122029 seconds
Guesses: 2601707, Time: 0.122456 seconds
Guesses: 2602707, Time: 0.122811 seconds
Guesses: 2612481, Time: 0.123252 seconds
