Time records (guesses, time):
Guesses: 1360626, Time: 0.077663 seconds
Guesses: 1360636, Time: 0.077921 seconds
Guesses: 1360646, Time: 0.078133 seconds
Guesses: 1360656, Time: 0.078348 seconds
Guesses: 1360666, Time: 0.078562 seconds
Guesses: 1360676, Time: 0.078804 seconds
Guesses: 1360686, Time: 0.079017 seconds
Guesses: 1360696, Time: 0.079234 seconds
Guesses: 1360706, Time: 0.079443 seconds
Guesses: 1360716, Time: 0.079659 seconds
Guesses: 1361716, Time: 0.07991 seconds
Guesses: 1361726, Time: 0.080119 seconds
Guesses: 1362726, Time: 0.080347 seconds
Guesses: 1362826, Time: 0.080562 seconds
Guesses: 1363826, Time: 0.080811 seconds
Guesses: 1363926, Time: 0.081023 seconds
Guesses: 1364026, Time: 0.081233 seconds
Guesses: 1365026, Time: 0.081467 seconds
Guesses: 1365126, Time: 0.08172 seconds
Guesses: 1365226, Time: 0.081954 seconds
Guesses: 1366226, Time: 0.082181 seconds
Guesses: 1366326, Time: 0.0824 seconds
Guesses: 1376100, Time: 0.082812 seconds
Guesses: 1376200, Time: 0.083021 seconds
Guesses: 1385974, Time: 0.083407 seconds
Guesses: 1395748, Time: 0.083819 seconds
Guesses: 1395848, Time: 0.084034 seconds
Guesses: 1405622, Time: 0.084424 seconds
Guesses: 1415396, Time: 0.084836 seconds
Guesses: 1425170, Time: 0.085221 seconds
Guesses: 1434944, Time: 0.085613 seconds
Guesses: 1444718, Time: 0.086031 seconds
Guesses: 1544868, Time: 0.088007 seconds
Guesses: 1544878, Time: 0.088241 seconds
Guesses: 1544888, Time: 0.088449 seconds
Guesses: 1645038, Time: 0.090411 seconds
Guesses: 1646038, Time: 0.09066 seconds
Guesses: 1646048, Time: 0.090901 seconds
Guesses: 1652894, Time: 0.09109 seconds
Guesses: 1653894, Time: 0.091317 seconds
Guesses: 1653946, Time: 0.091536 seconds
Guesses: 1754096, Time: 0.093476 seconds
Guesses: 1755096, Time: 0.093758 seconds
Guesses: 1755106, Time: 0.093966 seconds
Guesses: 1756106, Time: 0.094194 seconds
Guesses: 1756116, Time: 0.094403 seconds
Guesses: 1757116, Time: 0.09463 seconds
Guesses: 1757126, Time: 0.094869 seconds
Guesses: 1758126, Time: 0.095096 seconds
Guesses: 1759126, Time: 0.095328 seconds
Guesses: 1760126, Time: 0.095555 seconds
Guesses: 1761126, Time: 0.095803 seconds
Guesses: 1762126, Time: 0.096036 seconds
Guesses: 1763126, Time: 0.096268 seconds
Guesses: 1863276, Time: 0.098339 seconds
Guesses: 1863376, Time: 0.098574 seconds
Guesses: 1864376, Time: 0.098846 seconds
Guesses: 1865376, Time: 0.099082 seconds
Guesses: 1865476, Time: 0.099301 seconds
Guesses: 1866476, Time: 0.099537 seconds
Guesses: 1866576, Time: 0.099772 seconds
Guesses: 1866676, Time: 0.099985 seconds
Guesses: 1866776, Time: 0.100195 seconds
Guesses: 1866876, Time: 0.100412 seconds
Guesses: 1867876, Time: 0.100642 seconds
Guesses: 1867976, Time: 0.100872 seconds
Guesses: 1868976, Time: 0.101105 seconds
Guesses: 1869076, Time: 0.101315 seconds
Guesses: 1870076, Time: 0.101543 seconds
Guesses: 1870176, Time: 0.101787 seconds
Guesses: 1871176, Time: 0.102017 seconds
Guesses: 1871276, Time: 0.102227 seconds
Guesses: 1872276, Time: 0.10246 seconds
Guesses: 1872376, Time: 0.102673 seconds
Guesses: 1873376, Time: 0.102923 seconds
Guesses: 1873476, Time: 0.103138 seconds
Guesses: 1874476, Time: 0.103373 seconds
Guesses: 1875476, Time: 0.103607 seconds
Guesses: 1876476, Time: 0.103855 seconds
Guesses: 1877476, Time: 0.104089 seconds
Guesses: 1878476, Time: 0.104315 seconds
Guesses: 1879476, Time: 0.104542 seconds
Guesses: 1880476, Time: 0.104787 seconds
Guesses: 1881476, Time: 0.105014 seconds
Guesses: 1882476, Time: 0.10524 seconds
Guesses: 1883476, Time: 0.105468 seconds
Guesses: 1883576, Time: 0.105687 seconds
Guesses: 1884576, Time: 0.105957 seconds
Guesses: 1885576, Time: 0.10619 seconds
Guesses: 1885676, Time: 0.106407 seconds
Guesses: 1886676, Time: 0.10664 seconds
Guesses: 1886776, Time: 0.106874 seconds
Guesses: 1986926, Time: 0.108934 seconds
Guesses: 1996700, Time: 0.109348 seconds
Guesses: 1997700, Time: 0.109575 seconds
Guesses: 1997800, Time: 0.109822 seconds
Guesses: 1998800, Time: 0.110056 seconds
Guesses: 1998900, Time: 0.110266 seconds
Guesses: 2099050, Time: 0.112331 seconds
Guesses: 3156483, Time: 0.114506 seconds
Guesses: 2118598, Time: 0.114896 seconds
Guesses: 2218748, Time: 0.116954 seconds
Guesses: 2218848, Time: 0.117196 seconds
Guesses: 2318998, Time: 0.119261 seconds
Guesses: 2489683, Time: 0.122453 seconds
Guesses: 2490683, Time: 0.122694 seconds
Guesses: 2590833, Time: 0.124744 seconds
Guesses: 2591833, Time: 0.124992 seconds
Guesses: 2591933, Time: 0.125211 seconds
Guesses: 2601707, Time: 0.125626 seconds
Guesses: 2602707, Time: 0.125859 seconds
Guesses: 2612481, Time: 0.126256 seconds
Guesses: 2712631, Time: 0.128343 seconds
Guesses: 2712731, Time: 0.128571 seconds
Guesses: 2713731, Time: 0.128804 seconds
Guesses: 2713831, Time: 0.129016 seconds
Guesses: 2813981, Time: 0.131091 seconds
Guesses: 2814013, Time: 0.131344 seconds
Guesses: 2958975, Time: 0.134151 seconds
Guesses: 2980266, Time: 0.13481 seconds
Guesses: 2981266, Time: 0.135036 seconds
Guesses: 2981366, Time: 0.135251 seconds
Guesses: 2981466, Time: 0.135495 seconds
Guesses: 2981566, Time: 0.135706 seconds
Guesses: 2981666, Time: 0.135916 seconds
Guesses: 2981766, Time: 0.136126 seconds
Guesses: 2981866, Time: 0.136358 seconds
Guesses: 2981966, Time: 0.136568 seconds
Guesses: 2982966, Time: 0.1368 seconds
Guesses: 2983966, Time: 0.137029 seconds
Guesses: 2984066, Time: 0.137247 seconds
Guesses: 2993840, Time: 0.137649 seconds
Guesses: 2993940, Time: 0.137861 seconds
Guesses: 2994940, Time: 0.138087 seconds
Guesses: 3004714, Time: 0.138508 seconds
Guesses: 3104864, Time: 0.140553 seconds
Guesses: 4210828, Time: 0.144567 seconds
Guesses: 3214788, Time: 0.145004 seconds
Guesses: 3214820, Time: 0.145224 seconds
Guesses: 3314970, Time: 0.147282 seconds
Guesses: 3315002, Time: 0.14757 seconds
Guesses: 3415152, Time: 0.149621 seconds
Guesses: 3424926, Time: 0.150027 seconds
Guesses: 3525076, Time: 0.152095 seconds
Guesses: 3525176, Time: 0.152325 seconds
Guesses: 3625326, Time: 0.154394 seconds
Guesses: 3635100, Time: 0.154804 seconds
Guesses: 3644874, Time: 0.155191 seconds
Guesses: 3644906, Time: 0.155446 seconds
Guesses: 3654680, Time: 0.155833 seconds
Guesses: 3799642, Time: 0.158576 seconds
Guesses: 3899792, Time: 0.160658 seconds
Guesses: 3899892, Time: 0.160892 seconds
Guesses: 3909666, Time: 0.161284 seconds
Guesses: 4080351, Time: 0.164466 seconds
Guesses: 4090125, Time: 0.164877 seconds
Guesses: 4099899, Time: 0.16527 seconds
Guesses: 4099951, Time: 0.165506 seconds
Guesses: 4109725, Time: 0.1659 seconds
Guesses: 4109825, Time: 0.166113 seconds
Guesses: 4119599, Time: 0.166516 seconds
Guesses: 4119651, Time: 0.166729 seconds
Guesses: 4119751, Time: 0.166943 seconds
Guesses: 4129525, Time: 0.167335 seconds
Guesses: 4129625, Time: 0.167586 seconds
Guesses: 4139399, Time: 0.16798 seconds
Guesses: 4139451, Time: 0.168192 seconds
Guesses: 4139551, Time: 0.168437 seconds
Guesses: 4139651, Time: 0.168648 seconds
Guesses: 4143831, Time: 0.168802 seconds
Guesses: 4243981, Time: 0.171427 seconds
Guesses: 5383108, Time: 0.173566 seconds
Guesses: 4244991, Time: 0.173803 seconds
