Time records (guesses, time):
Guesses: 1360626, Time: 0.058572 seconds
Guesses: 1360636, Time: 0.058818 seconds
Guesses: 1360646, Time: 0.059109 seconds
Guesses: 1360656, Time: 0.059337 seconds
Guesses: 1360666, Time: 0.059563 seconds
Guesses: 1360676, Time: 0.059791 seconds
Guesses: 1360686, Time: 0.060044 seconds
Guesses: 1360696, Time: 0.060275 seconds
Guesses: 1360706, Time: 0.0605 seconds
Guesses: 1360716, Time: 0.060726 seconds
Guesses: 1361716, Time: 0.060983 seconds
Guesses: 1361726, Time: 0.061215 seconds
Guesses: 1362726, Time: 0.061453 seconds
Guesses: 1362826, Time: 0.061684 seconds
Guesses: 1363826, Time: 0.061921 seconds
Guesses: 1363926, Time: 0.062307 seconds
Guesses: 1364026, Time: 0.062543 seconds
Guesses: 1365026, Time: 0.062782 seconds
Guesses: 1365126, Time: 0.063172 seconds
Guesses: 1365226, Time: 0.063404 seconds
Guesses: 1366226, Time: 0.063644 seconds
Guesses: 1366326, Time: 0.063871 seconds
Guesses: 1376100, Time: 0.064193 seconds
Guesses: 1376200, Time: 0.064421 seconds
Guesses: 1385974, Time: 0.064707 seconds
Guesses: 1395748, Time: 0.065019 seconds
Guesses: 1395848, Time: 0.065246 seconds
Guesses: 1405622, Time: 0.065535 seconds
Guesses: 1415396, Time: 0.065822 seconds
Guesses: 1425170, Time: 0.066126 seconds
Guesses: 1434944, Time: 0.066449 seconds
Guesses: 1444718, Time: 0.066742 seconds
Guesses: 1544868, Time: 0.067601 seconds
Guesses: 1544878, Time: 0.068095 seconds
Guesses: 1544888, Time: 0.068333 seconds
Guesses: 1645038, Time: 0.069203 seconds
Guesses: 1646038, Time: 0.069699 seconds
Guesses: 1646048, Time: 0.070248 seconds
Guesses: 1652894, Time: 0.070428 seconds
Guesses: 1653894, Time: 0.070676 seconds
Guesses: 1653946, Time: 0.070914 seconds
Guesses: 1754096, Time: 0.071841 seconds
Guesses: 1755096, Time: 0.07225 seconds
Guesses: 1755106, Time: 0.072484 seconds
Guesses: 1756106, Time: 0.072716 seconds
Guesses: 1756116, Time: 0.07297 seconds
Guesses: 1757116, Time: 0.073208 seconds
Guesses: 1757126, Time: 0.073442 seconds
Guesses: 1758126, Time: 0.073674 seconds
Guesses: 1759126, Time: 0.073914 seconds
Guesses: 1760126, Time: 0.074165 seconds
Guesses: 1761126, Time: 0.074435 seconds
Guesses: 1762126, Time: 0.074668 seconds
Guesses: 1763126, Time: 0.074906 seconds
Guesses: 1863276, Time: 0.075842 seconds
Guesses: 1863376, Time: 0.076171 seconds
Guesses: 1864376, Time: 0.076414 seconds
Guesses: 1865376, Time: 0.076894 seconds
Guesses: 1865476, Time: 0.077142 seconds
Guesses: 1866476, Time: 0.077377 seconds
Guesses: 1866576, Time: 0.077611 seconds
Guesses: 1866676, Time: 0.077839 seconds
Guesses: 1866776, Time: 0.07808 seconds
Guesses: 1866876, Time: 0.078338 seconds
Guesses: 1867876, Time: 0.078583 seconds
Guesses: 1867976, Time: 0.078819 seconds
Guesses: 1868976, Time: 0.079072 seconds
Guesses: 1869076, Time: 0.079308 seconds
Guesses: 1870076, Time: 0.079551 seconds
Guesses: 1870176, Time: 0.07978 seconds
Guesses: 1871176, Time: 0.080035 seconds
Guesses: 1871276, Time: 0.080264 seconds
Guesses: 1872276, Time: 0.080629 seconds
Guesses: 1872376, Time: 0.080869 seconds
Guesses: 1873376, Time: 0.081126 seconds
Guesses: 1873476, Time: 0.081353 seconds
Guesses: 1874476, Time: 0.081588 seconds
Guesses: 1875476, Time: 0.082014 seconds
Guesses: 1876476, Time: 0.082287 seconds
Guesses: 1877476, Time: 0.082529 seconds
Guesses: 1878476, Time: 0.082761 seconds
Guesses: 1879476, Time: 0.083026 seconds
Guesses: 1880476, Time: 0.083259 seconds
Guesses: 1881476, Time: 0.083493 seconds
Guesses: 1882476, Time: 0.083735 seconds
Guesses: 1883476, Time: 0.08399 seconds
Guesses: 1883576, Time: 0.084219 seconds
Guesses: 1884576, Time: 0.084454 seconds
Guesses: 1885576, Time: 0.084693 seconds
Guesses: 1885676, Time: 0.084925 seconds
Guesses: 1886676, Time: 0.085175 seconds
Guesses: 1886776, Time: 0.08541 seconds
Guesses: 1986926, Time: 0.086285 seconds
Guesses: 1996700, Time: 0.086747 seconds
Guesses: 1997700, Time: 0.087024 seconds
Guesses: 1997800, Time: 0.087254 seconds
Guesses: 1998800, Time: 0.087489 seconds
Guesses: 1998900, Time: 0.08772 seconds
Guesses: 2099050, Time: 0.08857 seconds
Guesses: 2108824, Time: 0.090618 seconds
Guesses: 2118598, Time: 0.090959 seconds
Guesses: 2218748, Time: 0.091855 seconds
Guesses: 2218848, Time: 0.092372 seconds
Guesses: 2318998, Time: 0.093274 seconds
Guesses: 2489683, Time: 0.094587 seconds
Guesses: 2490683, Time: 0.094901 seconds
Guesses: 2590833, Time: 0.095888 seconds
Guesses: 2591833, Time: 0.096316 seconds
Guesses: 2591933, Time: 0.096554 seconds
Guesses: 2601707, Time: 0.096876 seconds
Guesses: 2602707, Time: 0.097109 seconds
Guesses: 2612481, Time: 0.097432 seconds
Guesses: 2712631, Time: 0.098331 seconds
Guesses: 2712731, Time: 0.098723 seconds
Guesses: 2713731, Time: 0.099208 seconds
Guesses: 2713831, Time: 0.099827 seconds
Guesses: 2813981, Time: 0.100775 seconds
Guesses: 2814013, Time: 0.101159 seconds
Guesses: 2958975, Time: 0.102365 seconds
Guesses: 2980266, Time: 0.102776 seconds
Guesses: 2981266, Time: 0.103013 seconds
Guesses: 2981366, Time: 0.103246 seconds
Guesses: 2981466, Time: 0.103478 seconds
Guesses: 2981566, Time: 0.104252 seconds
Guesses: 2981666, Time: 0.104504 seconds
Guesses: 2981766, Time: 0.10477 seconds
Guesses: 2981866, Time: 0.105003 seconds
Guesses: 2981966, Time: 0.105271 seconds
Guesses: 2982966, Time: 0.105599 seconds
Guesses: 2983966, Time: 0.105856 seconds
Guesses: 2984066, Time: 0.106089 seconds
Guesses: 2993840, Time: 0.106404 seconds
Guesses: 2993940, Time: 0.106645 seconds
Guesses: 2994940, Time: 0.106901 seconds
Guesses: 3004714, Time: 0.107347 seconds
Guesses: 3104864, Time: 0.108247 seconds
Guesses: 3205014, Time: 0.110941 seconds
Guesses: 3214788, Time: 0.111439 seconds
Guesses: 3214820, Time: 0.111708 seconds
Guesses: 3314970, Time: 0.112596 seconds
Guesses: 3315002, Time: 0.112974 seconds
Guesses: 3415152, Time: 0.113875 seconds
Guesses: 3424926, Time: 0.114334 seconds
Guesses: 3525076, Time: 0.115222 seconds
Guesses: 3525176, Time: 0.115524 seconds
Guesses: 3625326, Time: 0.116384 seconds
Guesses: 3635100, Time: 0.116997 seconds
Guesses: 3644874, Time: 0.117305 seconds
Guesses: 3644906, Time: 0.117561 seconds
Guesses: 3654680, Time: 0.117886 seconds
Guesses: 3799642, Time: 0.119062 seconds
Guesses: 3899792, Time: 0.119983 seconds
Guesses: 3899892, Time: 0.12036 seconds
Guesses: 3909666, Time: 0.12068 seconds
Guesses: 4080351, Time: 0.122019 seconds
Guesses: 4090125, Time: 0.122598 seconds
Guesses: 4099899, Time: 0.122979 seconds
Guesses: 4099951, Time: 0.123217 seconds
Guesses: 4109725, Time: 0.123608 seconds
Guesses: 4109825, Time: 0.12419 seconds
Guesses: 4119599, Time: 0.124527 seconds
Guesses: 4119651, Time: 0.124761 seconds
Guesses: 4119751, Time: 0.124991 seconds
Guesses: 4129525, Time: 0.125281 seconds
Guesses: 4129625, Time: 0.125539 seconds
Guesses: 4139399, Time: 0.125863 seconds
Guesses: 4139451, Time: 0.126092 seconds
Guesses: 4139551, Time: 0.126324 seconds
Guesses: 4139651, Time: 0.126605 seconds
Guesses: 4143831, Time: 0.126755 seconds
Guesses: 4243981, Time: 0.139781 seconds
Guesses: 4243991, Time: 0.142076 seconds
Guesses: 4244991, Time: 0.142378 seconds
Guesses: 4245001, Time: 0.142615 seconds
Guesses: 4246001, Time: 0.142859 seconds
Guesses: 4267292, Time: 0.14325 seconds
Guesses: 4268292, Time: 0.14351 seconds
Guesses: 4289583, Time: 0.143874 seconds
Guesses: 4289683, Time: 0.144106 seconds
Guesses: 4289783, Time: 0.144375 seconds
Guesses: 4289883, Time: 0.144612 seconds
Guesses: 4311174, Time: 0.144977 seconds
Guesses: 4312174, Time: 0.145242 seconds
Guesses: 4313174, Time: 0.145481 seconds
Guesses: 4313274, Time: 0.145713 seconds
Guesses: 4334565, Time: 0.146088 seconds
Guesses: 4334665, Time: 0.146335 seconds
Guesses: 4335665, Time: 0.146575 seconds
Guesses: 4345439, Time: 0.146865 seconds
Guesses: 4345471, Time: 0.147409 seconds
Guesses: 4345481, Time: 0.147652 seconds
Guesses: 4349442, Time: 0.148224 seconds
Guesses: 4366725, Time: 0.148457 seconds
Guesses: 4366735, Time: 0.148682 seconds
Guesses: 4366745, Time: 0.148912 seconds
Guesses: 4366755, Time: 0.149156 seconds
Guesses: 4366765, Time: 0.149387 seconds
Guesses: 4466915, Time: 0.150267 seconds
Guesses: 4467915, Time: 0.150671 seconds
Guesses: 4467925, Time: 0.150907 seconds
Guesses: 4467935, Time: 0.151182 seconds
Guesses: 4468935, Time: 0.151467 seconds
Guesses: 4469935, Time: 0.151926 seconds
Guesses: 4570085, Time: 0.15284 seconds
Guesses: 4591376, Time: 0.153632 seconds
Guesses: 4591386, Time: 0.153872 seconds
Guesses: 4591396, Time: 0.154099 seconds
Guesses: 4591406, Time: 0.154355 seconds
Guesses: 4591416, Time: 0.154582 seconds
Guesses: 4662279, Time: 0.155263 seconds
Guesses: 4662289, Time: 0.155524 seconds
Guesses: 4662299, Time: 0.155756 seconds
Guesses: 4663299, Time: 0.155998 seconds
Guesses: 4664299, Time: 0.156263 seconds
Guesses: 4664309, Time: 0.156489 seconds
Guesses: 4664409, Time: 0.156713 seconds
Guesses: 4664509, Time: 0.156938 seconds
Guesses: 4664609, Time: 0.157194 seconds
Guesses: 4685900, Time: 0.157557 seconds
Guesses: 4686000, Time: 0.158058 seconds
Guesses: 4687000, Time: 0.158596 seconds
Guesses: 4688000, Time: 0.158848 seconds
Guesses: 4688100, Time: 0.159102 seconds
Guesses: 4709391, Time: 0.159695 seconds
Guesses: 4809541, Time: 0.160619 seconds
Guesses: 4830832, Time: 0.161024 seconds
Guesses: 4930982, Time: 0.161917 seconds
Guesses: 4952273, Time: 0.16232 seconds
Guesses: 4973564, Time: 0.162681 seconds
Guesses: 5044427, Time: 0.163345 seconds
Guesses: 5065718, Time: 0.163751 seconds
