Time records (guesses, time):
Guesses: 170685, Time: 0.008192 seconds
Guesses: 315647, Time: 0.020225 seconds
Guesses: 459774, Time: 0.035838 seconds
Guesses: 559924, Time: 0.042368 seconds
Guesses: 660105, Time: 0.06368 seconds
Guesses: 730968, Time: 0.069645 seconds
Guesses: 731068, Time: 0.078559 seconds
Guesses: 797589, Time: 0.08444 seconds
Guesses: 797689, Time: 0.0934 seconds
Guesses: 862659, Time: 0.099262 seconds
Guesses: 862669, Time: 0.108176 seconds
Guesses: 862769, Time: 0.117148 seconds
Guesses: 927462, Time: 0.123046 seconds
Guesses: 927472, Time: 0.131984 seconds
Guesses: 927482, Time: 0.140966 seconds
Guesses: 977126, Time: 0.146508 seconds
Guesses: 977136, Time: 0.155449 seconds
Guesses: 977146, Time: 0.164399 seconds
Guesses: 977156, Time: 0.173366 seconds
Guesses: 977166, Time: 0.182289 seconds
Guesses: 977176, Time: 0.191224 seconds
Guesses: 977186, Time: 0.200181 seconds
Guesses: 977196, Time: 0.209065 seconds
Guesses: 977296, Time: 0.21796 seconds
Guesses: 977396, Time: 0.226858 seconds
Guesses: 977496, Time: 0.235806 seconds
Guesses: 977596, Time: 0.244731 seconds
Guesses: 1017695, Time: 0.250117 seconds
Guesses: 1051391, Time: 0.255378 seconds
Guesses: 1051401, Time: 0.267511 seconds
Guesses: 1051411, Time: 0.27646 seconds
Guesses: 1051421, Time: 0.285394 seconds
Guesses: 1051431, Time: 0.294308 seconds
Guesses: 1051441, Time: 0.303208 seconds
Guesses: 1051451, Time: 0.31211 seconds
Guesses: 1051461, Time: 0.321051 seconds
Guesses: 1051471, Time: 0.329971 seconds
Guesses: 1051481, Time: 0.338851 seconds
Guesses: 1051491, Time: 0.347705 seconds
Guesses: 1051501, Time: 0.356537 seconds
Guesses: 1051601, Time: 0.365398 seconds
Guesses: 1051701, Time: 0.374241 seconds
Guesses: 1051801, Time: 0.383176 seconds
Guesses: 1061575, Time: 0.392338 seconds
Guesses: 1062575, Time: 0.401311 seconds
Guesses: 1089613, Time: 0.406194 seconds
Guesses: 1089623, Time: 0.415104 seconds
Guesses: 1089633, Time: 0.424022 seconds
Guesses: 1089643, Time: 0.432942 seconds
Guesses: 1089653, Time: 0.441864 seconds
Guesses: 1089663, Time: 0.450791 seconds
Guesses: 1089763, Time: 0.459686 seconds
Guesses: 1090763, Time: 0.46863 seconds
Guesses: 1090863, Time: 0.477519 seconds
Guesses: 1090963, Time: 0.486472 seconds
Guesses: 1091063, Time: 0.49537 seconds
Guesses: 1091163, Time: 0.504263 seconds
