Time records (guesses, time):
Guesses: 170685, Time: 0.002059 seconds
Guesses: 315647, Time: 0.005405 seconds
Guesses: 459774, Time: 0.010144 seconds
Guesses: 559924, Time: 0.011202 seconds
Guesses: 660105, Time: 0.018032 seconds
Guesses: 730968, Time: 0.018806 seconds
Guesses: 731068, Time: 0.019021 seconds
Guesses: 797589, Time: 0.019738 seconds
Guesses: 797689, Time: 0.020053 seconds
Guesses: 862659, Time: 0.020754 seconds
Guesses: 862669, Time: 0.020936 seconds
Guesses: 862769, Time: 0.021147 seconds
Guesses: 927462, Time: 0.021849 seconds
Guesses: 927472, Time: 0.022184 seconds
Guesses: 927482, Time: 0.022387 seconds
Guesses: 977126, Time: 0.022958 seconds
Guesses: 977136, Time: 0.023143 seconds
Guesses: 977146, Time: 0.023406 seconds
Guesses: 977156, Time: 0.023756 seconds
Guesses: 977166, Time: 0.023974 seconds
Guesses: 977176, Time: 0.02417 seconds
Guesses: 977186, Time: 0.024366 seconds
Guesses: 977196, Time: 0.024597 seconds
Guesses: 977296, Time: 0.025043 seconds
Guesses: 977396, Time: 0.025245 seconds
Guesses: 977496, Time: 0.025453 seconds
Guesses: 977596, Time: 0.025675 seconds
Guesses: 1017695, Time: 0.026153 seconds
Guesses: 1051391, Time: 0.026584 seconds
Guesses: 1051401, Time: 0.028579 seconds
Guesses: 1051411, Time: 0.028796 seconds
Guesses: 1051421, Time: 0.028999 seconds
Guesses: 1051431, Time: 0.029201 seconds
Guesses: 1051441, Time: 0.029434 seconds
Guesses: 1051451, Time: 0.029635 seconds
Guesses: 1051461, Time: 0.029838 seconds
Guesses: 1051471, Time: 0.030041 seconds
Guesses: 1051481, Time: 0.030244 seconds
Guesses: 1051491, Time: 0.030455 seconds
Guesses: 1051501, Time: 0.030658 seconds
Guesses: 1051601, Time: 0.030857 seconds
Guesses: 1051701, Time: 0.03106 seconds
Guesses: 1051801, Time: 0.031257 seconds
Guesses: 1061575, Time: 0.03153 seconds
Guesses: 1062575, Time: 0.031733 seconds
Guesses: 1089613, Time: 0.031976 seconds
