Time records (guesses, time):
Guesses: 170685, Time: 0.006958 seconds
Guesses: 315647, Time: 0.017791 seconds
Guesses: 459774, Time: 0.032004 seconds
Guesses: 559924, Time: 0.037682 seconds
Guesses: 660105, Time: 0.057741 seconds
Guesses: 730968, Time: 0.062956 seconds
Guesses: 731068, Time: 0.071713 seconds
Guesses: 797589, Time: 0.076912 seconds
Guesses: 797689, Time: 0.085742 seconds
Guesses: 862659, Time: 0.090936 seconds
Guesses: 862669, Time: 0.099651 seconds
Guesses: 862769, Time: 0.108352 seconds
Guesses: 927462, Time: 0.113589 seconds
Guesses: 927472, Time: 0.122469 seconds
Guesses: 927482, Time: 0.131189 seconds
Guesses: 977126, Time: 0.136136 seconds
Guesses: 977136, Time: 0.144801 seconds
Guesses: 977146, Time: 0.153453 seconds
Guesses: 977156, Time: 0.162169 seconds
Guesses: 977166, Time: 0.170875 seconds
Guesses: 977176, Time: 0.179592 seconds
Guesses: 977186, Time: 0.188269 seconds
Guesses: 977196, Time: 0.196962 seconds
Guesses: 977296, Time: 0.205633 seconds
Guesses: 977396, Time: 0.214308 seconds
Guesses: 977496, Time: 0.222979 seconds
Guesses: 977596, Time: 0.2317 seconds
Guesses: 1017695, Time: 0.236546 seconds
Guesses: 1051391, Time: 0.241258 seconds
Guesses: 1051401, Time: 0.253057 seconds
Guesses: 1051411, Time: 0.261748 seconds
Guesses: 1051421, Time: 0.270469 seconds
Guesses: 1051431, Time: 0.279185 seconds
Guesses: 1051441, Time: 0.287898 seconds
Guesses: 1051451, Time: 0.29656 seconds
Guesses: 1051461, Time: 0.305224 seconds
Guesses: 1051471, Time: 0.313867 seconds
Guesses: 1051481, Time: 0.322509 seconds
Guesses: 1051491, Time: 0.331184 seconds
Guesses: 1051501, Time: 0.339859 seconds
Guesses: 1051601, Time: 0.348562 seconds
Guesses: 1051701, Time: 0.357271 seconds
Guesses: 1051801, Time: 0.365965 seconds
Guesses: 1061575, Time: 0.374734 seconds
Guesses: 1062575, Time: 0.383452 seconds
Guesses: 1089613, Time: 0.387926 seconds
Guesses: 1089623, Time: 0.396587 seconds
Guesses: 1089633, Time: 0.40524 seconds
Guesses: 1089643, Time: 0.413867 seconds
Guesses: 1089653, Time: 0.422508 seconds
Guesses: 1089663, Time: 0.431134 seconds
Guesses: 1089763, Time: 0.439835 seconds
