Time records (guesses, time):
Guesses: 170685, Time: 0.002648 seconds
Guesses: 315647, Time: 0.006609 seconds
Guesses: 459774, Time: 0.01191 seconds
Guesses: 559924, Time: 0.013573 seconds
Guesses: 660105, Time: 0.020995 seconds
Guesses: 730968, Time: 0.022135 seconds
Guesses: 731068, Time: 0.02244 seconds
Guesses: 797589, Time: 0.023484 seconds
Guesses: 797689, Time: 0.023774 seconds
Guesses: 862659, Time: 0.024765 seconds
Guesses: 862669, Time: 0.025065 seconds
Guesses: 862769, Time: 0.025394 seconds
Guesses: 927462, Time: 0.026408 seconds
Guesses: 927472, Time: 0.026683 seconds
Guesses: 927482, Time: 0.026967 seconds
Guesses: 977126, Time: 0.027794 seconds
Guesses: 977136, Time: 0.028056 seconds
Guesses: 977146, Time: 0.02836 seconds
Guesses: 977156, Time: 0.028652 seconds
Guesses: 977166, Time: 0.028937 seconds
Guesses: 977176, Time: 0.029247 seconds
Guesses: 977186, Time: 0.029566 seconds
Guesses: 977196, Time: 0.029873 seconds
Guesses: 977296, Time: 0.030187 seconds
Guesses: 977396, Time: 0.030491 seconds
Guesses: 977496, Time: 0.030784 seconds
Guesses: 977596, Time: 0.031076 seconds
Guesses: 1017695, Time: 0.031808 seconds
Guesses: 1051391, Time: 0.032422 seconds
Guesses: 1051401, Time: 0.034605 seconds
Guesses: 1051411, Time: 0.034909 seconds
Guesses: 1051421, Time: 0.035221 seconds
Guesses: 1051431, Time: 0.035511 seconds
Guesses: 1051441, Time: 0.03581 seconds
Guesses: 1051451, Time: 0.036121 seconds
Guesses: 1051461, Time: 0.036406 seconds
Guesses: 1051471, Time: 0.036696 seconds
Guesses: 1051481, Time: 0.036985 seconds
Guesses: 1051491, Time: 0.037278 seconds
Guesses: 1051501, Time: 0.037573 seconds
Guesses: 1051601, Time: 0.037895 seconds
Guesses: 1051701, Time: 0.038209 seconds
Guesses: 1051801, Time: 0.038499 seconds
Guesses: 1061575, Time: 0.038862 seconds
Guesses: 1062575, Time: 0.039181 seconds
Guesses: 1089613, Time: 0.039579 seconds
Guesses: 1089623, Time: 0.039835 seconds
Guesses: 1089633, Time: 0.040152 seconds
Guesses: 1089643, Time: 0.040433 seconds
Guesses: 1089653, Time: 0.04072 seconds
Guesses: 1089663, Time: 0.041001 seconds
Guesses: 1089763, Time: 0.041291 seconds
Guesses: 1090763, Time: 0.041586 seconds
Guesses: 1090863, Time: 0.041894 seconds
Guesses: 1090963, Time: 0.042229 seconds
Guesses: 1091063, Time: 0.042512 seconds
Guesses: 1091163, Time: 0.0428 seconds
Guesses: 1091263, Time: 0.043083 seconds
Guesses: 1091363, Time: 0.043382 seconds
Guesses: 1101137, Time: 0.043746 seconds
Guesses: 1101237, Time: 0.044073 seconds
Guesses: 1101337, Time: 0.044373 seconds
Guesses: 1111111, Time: 0.044737 seconds
Guesses: 1120885, Time: 0.045092 seconds
Guesses: 1121885, Time: 0.0454 seconds
Guesses: 1121895, Time: 0.045691 seconds
Guesses: 1121905, Time: 0.045998 seconds
Guesses: 1122905, Time: 0.046339 seconds
Guesses: 1122915, Time: 0.046622 seconds
Guesses: 1122925, Time: 0.046909 seconds
Guesses: 1123925, Time: 0.04721 seconds
Guesses: 1123935, Time: 0.04749 seconds
Guesses: 1124035, Time: 0.047843 seconds
Guesses: 1125035, Time: 0.048144 seconds
Guesses: 1125135, Time: 0.048422 seconds
Guesses: 1126135, Time: 0.048717 seconds
Guesses: 1126235, Time: 0.049005 seconds
Guesses: 1126335, Time: 0.049296 seconds
Guesses: 1136109, Time: 0.049668 seconds
Guesses: 1145883, Time: 0.050053 seconds
Guesses: 1155657, Time: 0.050447 seconds
Guesses: 1155757, Time: 0.050759 seconds
Guesses: 1165531, Time: 0.051131 seconds
Guesses: 1165631, Time: 0.051419 seconds
Guesses: 1165731, Time: 0.051705 seconds
Guesses: 1175505, Time: 0.052074 seconds
Guesses: 1185279, Time: 0.052441 seconds
Guesses: 1195053, Time: 0.052796 seconds
Guesses: 1216344, Time: 0.053163 seconds
Guesses: 1216354, Time: 0.053431 seconds
Guesses: 1217354, Time: 0.053734 seconds
Guesses: 1233862, Time: 0.054115 seconds
