model,bucket,sample_count,exact_match,bleu
seq2seq_rnn,1-3,0,0.0,0.0
seq2seq_rnn,4-6,155,0.21935483870967742,0.3474332940099808
seq2seq_rnn,7-9,664,0.28313253012048195,0.4559344421553546
seq2seq_attn,1-3,0,0.0,0.0
seq2seq_attn,4-6,155,0.25161290322580643,0.3936497294488968
seq2seq_attn,7-9,664,0.3358433734939759,0.5236210598040317
seq2seq_luong,1-3,0,0.0,0.0
seq2seq_luong,4-6,155,0.3032258064516129,0.43420358363452605
seq2seq_luong,7-9,664,0.3433734939759036,0.5335889281863836
