model,model_variant,run_name,lr,hidden_size,scheduled_sampling,scheduled_sampling_strategy,best_val_acc,best_val_exact_match,test_acc,test_exact_match,test_bleu,best_val_loss,summary_path,epoch_metrics_path,curves_path,length_bucket_path,all_test_path
seq2seq_rnn,seq2seq_rnn,final_seq2seq_rnn_b512_e200,0.002,128,False,inverse_sigmoid,0.6829993898957236,0.2870722433460076,0.6655125436720958,0.26495726495726496,0.44360614722121894,2.603936481838444,/Users/linshangjin/Desktop/DeepLearning/lab3/outputs512/seq2seq_rnn/final_seq2seq_rnn_b512_e200/summary_metrics.csv,/Users/linshangjin/Desktop/DeepLearning/lab3/outputs512/seq2seq_rnn/final_seq2seq_rnn_b512_e200/epoch_metrics.csv,/Users/linshangjin/Desktop/DeepLearning/lab3/outputs512/seq2seq_rnn/final_seq2seq_rnn_b512_e200/training_curves.png,/Users/linshangjin/Desktop/DeepLearning/lab3/outputs512/seq2seq_rnn/final_seq2seq_rnn_b512_e200/length_bucket_metrics.csv,/Users/linshangjin/Desktop/DeepLearning/lab3/outputs512/seq2seq_rnn/final_seq2seq_rnn_b512_e200/all_test_translations.csv
seq2seq_attn,seq2seq_attn,final_seq2seq_attn_b512_e200,0.003,128,False,inverse_sigmoid,0.7309478157389897,0.3279467680608365,0.7186708022742809,0.3114909781576448,0.5107780635831013,2.2647887926137944,/Users/linshangjin/Desktop/DeepLearning/lab3/outputs512/seq2seq_attn/final_seq2seq_attn_b512_e200/summary_metrics.csv,/Users/linshangjin/Desktop/DeepLearning/lab3/outputs512/seq2seq_attn/final_seq2seq_attn_b512_e200/epoch_metrics.csv,/Users/linshangjin/Desktop/DeepLearning/lab3/outputs512/seq2seq_attn/final_seq2seq_attn_b512_e200/training_curves.png,/Users/linshangjin/Desktop/DeepLearning/lab3/outputs512/seq2seq_attn/final_seq2seq_attn_b512_e200/length_bucket_metrics.csv,/Users/linshangjin/Desktop/DeepLearning/lab3/outputs512/seq2seq_attn/final_seq2seq_attn_b512_e200/all_test_translations.csv
seq2seq_luong,seq2seq_luong_concat,sweep_seq2seq_luong_concat_optadam_h128_lr0p002_bs512,0.002,128,False,inverse_sigmoid,0.7398704995622679,0.35076045627376423,0.727280730810618,0.31718898385565053,0.5176815988461382,2.259327908432529,/Users/linshangjin/Desktop/DeepLearning/lab3/outputs512/seq2seq_luong_concat/sweep_seq2seq_luong_concat_optadam_h128_lr0p002_bs512/summary_metrics.csv,/Users/linshangjin/Desktop/DeepLearning/lab3/outputs512/seq2seq_luong_concat/sweep_seq2seq_luong_concat_optadam_h128_lr0p002_bs512/epoch_metrics.csv,/Users/linshangjin/Desktop/DeepLearning/lab3/outputs512/seq2seq_luong_concat/sweep_seq2seq_luong_concat_optadam_h128_lr0p002_bs512/training_curves.png,/Users/linshangjin/Desktop/DeepLearning/lab3/outputs512/seq2seq_luong_concat/sweep_seq2seq_luong_concat_optadam_h128_lr0p002_bs512/length_bucket_metrics.csv,/Users/linshangjin/Desktop/DeepLearning/lab3/outputs512/seq2seq_luong_concat/sweep_seq2seq_luong_concat_optadam_h128_lr0p002_bs512/all_test_translations.csv
