Model,params,flops,latency,peak_mem
SimpleNet,0.062006,0.00130344,0.29710847973823545,9.37890625
CustomNet,7.984426,1.122200576,3.3757590317726134,59.6943359375
ResNet,13.83073,1.5698688,5.673366394042969,78.77490234375
DenseNet,0.86629,0.188134084,33.315624389648434,21.36279296875
MobileNet,3.217226,0.096012288,3.7063536012172698,33.45751953125
Res2Net,6.423122,0.781013504,13.983856959342956,43.94140625
